model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,precision_binary_anomaly,recall_binary_anomaly,f1_binary_anomaly
random_forest,0.9941887859274383,0.5351640043738136,0.49166567365329233,0.5051248933073548,0.9952081234091766,0.9941887859274383,0.9943771733590685,,,
lstm,0.9897580058581847,0.9489458275227665,0.4762279567634659,0.5385122943695633,0.9891031549550126,0.9897580058581847,0.9862164275472215,,,
autoencoder,0.9865910161771635,,,,,,,0.5409836065573771,0.04796511627906977,0.08811748998664887
