,pred_BRUTEFORCE,pred_C2_BEACON,pred_EXFIL_RANSOMWARE,pred_NORMAL,pred_RECON
true_BRUTEFORCE,164,0,0,242,0
true_C2_BEACON,0,7,0,275,0
true_EXFIL_RANSOMWARE,0,0,0,0,0
true_NORMAL,3,1,0,50177,0
true_RECON,0,0,0,0,0
