,pred_BRUTEFORCE,pred_C2_BEACON,pred_EXFIL_RANSOMWARE,pred_NORMAL,pred_RECON
true_BRUTEFORCE,230,50,0,126,0
true_C2_BEACON,15,252,0,15,0
true_EXFIL_RANSOMWARE,0,0,0,0,0
true_NORMAL,11,21,52,50158,6
true_RECON,0,0,0,0,0
