model,class,precision,recall,f1,support
random_forest,BRUTEFORCE,0.8984375,0.5665024630541872,0.6948640483383686,406
random_forest,C2_BEACON,0.7801857585139319,0.8936170212765957,0.8330578512396695,282
random_forest,EXFIL_RANSOMWARE,0.0,0.0,0.0,0
random_forest,NORMAL,0.9971967633551363,0.9982088839356791,0.9977025669587357,50248
random_forest,RECON,0.0,0.0,0.0,0
random_forest,MACRO,0.5351640043738136,0.49166567365329233,0.5051248933073548,50936
random_forest,WEIGHTED,0.9952081234091766,0.9941887859274383,0.9943771733590685,50936
lstm,BRUTEFORCE,0.9820359281437125,0.4039408866995074,0.5724258289703316,406
lstm,C2_BEACON,0.875,0.024822695035460994,0.04827586206896552,282
lstm,EXFIL_RANSOMWARE,0.0,0.0,0.0,0
lstm,NORMAL,0.9898015544245867,0.9999202885554294,0.9948351920693929,50181
lstm,RECON,0.0,0.0,0.0,0
lstm,MACRO,0.9489458275227665,0.4762279567634659,0.5385122943695633,50869
lstm,WEIGHTED,0.9891031549550126,0.9897580058581847,0.9862164275472215,50869
autoencoder,ANOMALY(binary),0.5409836065573771,0.04796511627906977,0.08811748998664887,688
autoencoder,NORMAL(binary),0.9871253071253071,0.9994427638911001,0.9932458491144448,50248
