,pred_BRUTEFORCE,pred_C2_BEACON,pred_EXFIL_RANSOMWARE,pred_NORMAL,pred_RECON
true_BRUTEFORCE,39,9,0,34,0
true_C2_BEACON,3,95,0,4,0
true_EXFIL_RANSOMWARE,0,0,0,0,0
true_NORMAL,10,36,57,46710,1698
true_RECON,1,1,0,1,1999
