model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,precision_binary_anomaly,recall_binary_anomaly,f1_binary_anomaly
random_forest,0.9634297887448962,0.5898964724248055,0.6736716406478743,0.6083763616164741,0.9799809036926823,0.9634297887448962,0.9686089922184443,,,
lstm,0.9575548094015406,0.7706305467126899,0.38489316686920083,0.4525364832221155,0.9403906157719886,0.9575548094015406,0.940010295173666,,,
autoencoder,0.9565654772471743,,,,,,,0.35185185185185186,0.00869167429094236,0.016964285714285713
