,pred_BRUTEFORCE,pred_C2_BEACON,pred_EXFIL_RANSOMWARE,pred_NORMAL,pred_RECON
true_BRUTEFORCE,27,1,0,54,0
true_C2_BEACON,0,18,0,84,0
true_EXFIL_RANSOMWARE,0,0,0,0,0
true_NORMAL,3,6,0,48365,70
true_RECON,0,0,0,1931,71
