model,class,precision,recall,f1,support
random_forest,BRUTEFORCE,0.7358490566037735,0.47560975609756095,0.5777777777777777,82
random_forest,C2_BEACON,0.6737588652482269,0.9313725490196079,0.7818930041152263,102
random_forest,EXFIL_RANSOMWARE,0.0,0.0,0.0,0
random_forest,NORMAL,0.9991657575563113,0.9628743996207045,0.980684442578207,48511
random_forest,RECON,0.5407086827157155,0.9985014985014985,0.7015265836111598,2002
random_forest,MACRO,0.5898964724248055,0.6736716406478743,0.6083763616164741,50697
random_forest,WEIGHTED,0.9799809036926823,0.9634297887448962,0.9686089922184443,50697
lstm,BRUTEFORCE,0.9,0.32926829268292684,0.48214285714285715,82
lstm,C2_BEACON,0.72,0.17647058823529413,0.28346456692913385,102
lstm,EXFIL_RANSOMWARE,0.0,0.0,0.0,0
lstm,NORMAL,0.9589760875599794,0.9983692510940467,0.9782762596330832,48444
lstm,RECON,0.5035460992907801,0.035464535464535464,0.06626224918338777,2002
lstm,MACRO,0.7706305467126899,0.38489316686920083,0.4525364832221155,50630
lstm,WEIGHTED,0.9403906157719886,0.9575548094015406,0.940010295173666,50630
autoencoder,ANOMALY(binary),0.35185185185185186,0.00869167429094236,0.016964285714285713,2186
autoencoder,NORMAL(binary),0.9572102758525364,0.9992785141514295,0.9777921213465922,48511
