model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,precision_binary_anomaly,recall_binary_anomaly,f1_binary_anomaly
random_forest,0.8697695672041256,0.5996042035372082,0.8087703922221042,0.6485455598258453,0.9523526725156778,0.8697695672041256,0.8993602717131108,,,
lstm,0.9473047232762004,0.6845591045591045,0.3568836652269352,0.3669591043542437,0.9379818386059391,0.9473047232762004,0.9231300676316271,,,
autoencoder,0.9446765454664142,,,,,,,0.09333333333333334,0.004283965728274173,0.008191925102399064
