model,class,precision,recall,f1,support
random_forest,BRUTEFORCE,0.8651685393258427,0.7857142857142857,0.8235294117647058,98
random_forest,C2_BEACON,0.4772727272727273,0.8513513513513513,0.6116504854368932,74
random_forest,EXFIL_RANSOMWARE,0.2,0.08333333333333333,0.11764705882352941,12
random_forest,NORMAL,0.9996448275045581,0.9570638375045339,0.9778910185882217,44112
random_forest,RECON,0.0,0.0,0.0,4
random_forest,MACRO,0.5084172188206255,0.5354925615807009,0.50614359492267,44300
random_forest,WEIGHTED,0.9981678855429611,0.9561851015801355,0.9766164423238101,44300
lstm,BRUTEFORCE,0.9454545454545454,0.5306122448979592,0.6797385620915033,98
lstm,C2_BEACON,0.0,0.0,0.0,74
lstm,EXFIL_RANSOMWARE,0.0,0.0,0.0,12
lstm,NORMAL,0.9969216143416555,0.9999318893883667,0.9984244828563332,44046
lstm,RECON,0.0,0.0,0.0,4
lstm,MACRO,0.3884752319592402,0.3061088268572652,0.3356326089895673,44234
lstm,WEIGHTED,0.9947792189435074,0.9968576208346521,0.9956870088840037,44234
autoencoder,ANOMALY(binary),0.34831460674157305,0.16489361702127658,0.22382671480144403,188
autoencoder,NORMAL(binary),0.9964488475718712,0.9986851650344577,0.9975657529748763,44112
