model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,precision_binary_anomaly,recall_binary_anomaly,f1_binary_anomaly
random_forest,0.9561851015801355,0.5084172188206255,0.5354925615807009,0.50614359492267,0.9981678855429611,0.9561851015801355,0.9766164423238101,,,
lstm,0.9968576208346521,0.3884752319592402,0.3061088268572652,0.3356326089895673,0.9947792189435074,0.9968576208346521,0.9956870088840037,,,
autoencoder,0.9951467268623024,,,,,,,0.34831460674157305,0.16489361702127658,0.22382671480144403
