,pred_BRUTEFORCE,pred_C2_BEACON,pred_EXFIL_RANSOMWARE,pred_NORMAL,pred_RECON
true_BRUTEFORCE,52,0,0,46,0
true_C2_BEACON,0,0,0,74,0
true_EXFIL_RANSOMWARE,0,0,0,12,0
true_NORMAL,3,0,0,44043,0
true_RECON,0,0,0,4,0
